inverter_id,total_energy_kwh,avg_efficiency,days,expected_energy_kwh,energy_loss_kwh,revenue_loss_inr,annual_loss_inr
INV-003,159477.51,0.8471300316122234,365,178843.42290600232,19365.91290600231,154927.3032480185,154927.3032480185
INV-009,171477.03,0.8968970706006323,365,181629.73638759606,10152.70638759606,81221.65110076847,81221.65110076847
INV-007,174623.24,0.9002576185458376,365,184271.7846342262,9648.544634226215,77188.35707380972,77188.35707380972
INV-002,177389.78,0.9272032455216016,365,181751.18757829443,4361.407578294427,34891.26062635542,34891.26062635542
INV-008,181188.0,0.9277561854583772,365,185532.15025449416,4344.150254494161,34753.20203595329,34753.20203595329
INV-010,180493.12,0.9276940569020021,365,184832.98747500032,4339.8674750003265,34718.93980000261,34718.93980000261
INV-001,174068.82,0.9269840463645944,365,178390.7497097957,4321.929709795688,34575.4376783655,34575.4376783655
INV-004,174996.72,0.9271398735511064,365,179311.5459086509,4314.825908650906,34518.60726920725,34518.60726920725
INV-005,173541.36,0.9271233508956798,365,177823.47067488605,4282.110674886062,34256.885399088496,34256.885399088496
INV-006,172610.77,0.9270155953635406,365,176890.47770085584,4279.707700855855,34237.66160684684,34237.66160684684
